City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,pacific grove,36.6177,-121.9166,10.61,85,0,1.54,US,1675740738
84,azul,-36.777,-59.8585,16.33,89,51,6.2,AR,1675740869
85,puerto ayora,-0.7393,-90.3518,26.42,92,10,4.92,EC,1675740798
86,verkhoyansk,67.5447,133.385,-40.74,96,100,0.4,RU,1675740862
87,suez,29.9737,32.5263,8.62,65,9,2.85,EG,1675741039
88,rafai,4.95,23.9167,19.1,32,5,0.63,CF,1675741039
89,richards bay,-28.783,32.0377,22.16,94,10,1.77,ZA,1675740889
90,butaritari,3.0707,172.7902,27.39,80,98,9.59,KI,1675740745
91,beloha,-25.1667,45.05,23.46,83,99,4.08,MG,1675741041
92,kashan,33.9831,51.4364,6.94,53,6,1.1,IR,1675741041
93,kevsala,45.7983,42.6903,-5.05,93,100,6.7,RU,1675741042
94,makakilo city,21.3469,-158.0858,26.18,64,20,4.12,US,1675740909
95,kissamos,35.4939,23.6569,7.73,80,96,8.64,GR,1675741042
96,dunedin,-45.8742,170.5036,15.45,82,100,1.79,NZ,1675740857
97,lebu,-37.6167,-73.65,14.13,85,0,7.66,CL,1675741043
98,dinagat,9.9561,125.5933,27.92,72,96,6.63,PH,1675741044
99,mizdah,31.4451,12.9801,5.49,79,75,4.06,LY,1675741044
100,cabedelo,-6.9811,-34.8339,23.37,68,68,4.66,BR,1675741045
101,gushikawa,26.3544,127.8686,21.77,79,40,5.66,JP,1675741045
102,ixtapa,20.7,-105.2,22.57,83,0,1.03,MX,1675740777
103,saint-prosper,46.2117,-70.4811,-15.84,99,18,1.8,CA,1675741046
104,camacha,33.0833,-16.3333,12.68,77,75,5.66,PT,1675741047
105,bowen,-20.0167,148.2333,29.76,74,37,7.93,AU,1675741047
106,miraflores,19.2167,-98.8083,16.68,47,0,0.88,MX,1675740915
107,madimba,-10.4,40.3333,23.62,94,75,5.14,TZ,1675741049
108,muros,42.7762,-9.0603,5.61,76,0,3.26,ES,1675741049
109,durango,24.8333,-104.8333,11.98,32,79,3.58,MX,1675740947
110,sechura,-5.5569,-80.8222,25.1,69,76,4.11,PE,1675741050
111,thompson,55.7435,-97.8558,-19.91,77,0,4.12,CA,1675740775
112,wonthaggi,-38.6044,145.5913,19.34,66,60,4.15,AU,1675741051
113,caravelas,-17.7125,-39.2481,24.74,92,2,3.1,BR,1675740910
114,cabo san lucas,22.8909,-109.9124,20.9,65,0,0.0,MX,1675740907
115,zemio,5.0314,25.1361,19.88,31,7,0.97,CF,1675741052
116,harper,4.375,-7.7169,25.69,85,89,2.53,LR,1675741052
117,jamestown,42.097,-79.2353,-0.55,93,100,3.6,US,1675740581
118,ploemeur,47.7333,-3.4333,4.97,77,0,3.6,FR,1675741053
119,nalut,30.3333,10.85,8.13,63,100,5.2,LY,1675741054
120,bela,25.9333,81.9833,21.86,42,0,3.29,IN,1675740964
121,hasaki,35.7333,140.8333,15.22,55,59,3.76,JP,1675740917
122,vrangel,42.7297,133.0839,-2.41,37,16,3.0,RU,1675741056
123,dubbo,-32.25,148.6167,34.07,22,40,5.14,AU,1675740834
124,neuquen,-38.9516,-68.0591,21.94,43,0,0.0,AR,1675741057
125,faanui,-16.4833,-151.75,27.41,76,5,6.51,PF,1675740920
126,ishigaki,24.3448,124.1572,23.07,78,75,4.63,JP,1675741060
127,teahupoo,-17.8333,-149.2667,26.98,75,30,5.57,PF,1675741061
128,flinders,-34.5833,150.8552,24.1,82,68,2.01,AU,1675740892
129,honningsvag,70.9821,25.9704,4.86,81,100,7.72,NO,1675741062
130,padang,-0.9492,100.3543,30.03,61,54,2.31,ID,1675741064
131,darnah,32.767,22.6367,10.17,72,97,4.87,LY,1675741064
132,riobamba,-1.6667,-78.6333,10.07,94,73,1.68,EC,1675741065
133,saint albans,51.75,-0.3333,1.48,96,26,1.54,GB,1675741067
134,sinegorye,62.0788,150.477,-32.73,99,97,0.92,RU,1675741068
135,port lincoln,-34.7333,135.8667,22.99,59,0,4.42,AU,1675741069
136,tonstad,58.6626,6.7169,3.44,99,100,1.71,NO,1675741070
137,sung noen,14.8992,101.8207,32.03,100,91,0.58,TH,1675741071
138,ilulissat,69.2167,-51.1,-18.99,78,75,2.57,GL,1675740785
139,arraial do cabo,-22.9661,-42.0278,24.06,92,99,0.47,BR,1675740746
140,sioux lookout,50.1001,-91.917,-0.96,93,100,5.14,CA,1675741072
141,talakan,50.3167,130.3667,-15.55,84,100,3.15,RU,1675741073
142,sfantu gheorghe,45.8667,25.7833,-11.77,97,97,0.38,RO,1675741074
143,ahipara,-35.1667,173.1667,21.59,65,13,4.61,NZ,1675741075
144,kudahuvadhoo,2.6708,72.8944,27.32,70,100,3.36,MV,1675740714
145,goundam,16.4145,-3.6708,22.35,15,100,3.89,ML,1675741076
146,khatanga,71.9667,102.5,-41.13,100,84,0.63,RU,1675740807
147,burgos,42.3394,-3.7079,-3.77,93,0,4.12,ES,1675741077
148,dikson,73.5069,80.5464,-33.07,99,75,1.81,RU,1675740868
149,prainha,-1.8,-53.48,22.57,96,80,1.16,BR,1675741078
150,chippewa falls,44.9369,-91.3929,2.45,89,100,2.57,US,1675740810
151,labuhan,-6.8844,112.2051,28.47,75,100,3.99,ID,1675741080
152,ostrovnoy,68.0531,39.5131,-3.3,92,100,13.45,RU,1675741080
153,singaparna,-7.3515,108.111,27.95,68,88,0.83,ID,1675741082
154,opuwo,-18.0607,13.84,17.65,47,59,1.29,NA,1675740793
155,hambantota,6.1241,81.1185,27.19,94,20,2.57,LK,1675740686
156,kiama,-34.6833,150.8667,24.21,82,78,0.45,AU,1675741083
157,biak,-0.9131,122.8766,29.38,63,97,0.56,ID,1675741085
158,corbelia,-24.7989,-53.3067,24.64,74,100,0.73,BR,1675741086
159,ubinskoye,55.3068,79.6802,-12.21,96,100,3.29,RU,1675741087
160,hamada,34.8833,132.0833,10.4,75,100,2.2,JP,1675740953
161,kaitangata,-46.2817,169.8464,12.66,88,100,5.55,NZ,1675741088
162,la ronge,55.1001,-105.2842,-14.86,85,40,0.0,CA,1675740875
163,kavaratti,10.5669,72.642,26.99,73,100,5.99,IN,1675741090
164,arkhangelsk,64.5401,40.5433,-6.94,93,100,3.0,RU,1675741090
165,belmonte,-15.8631,-38.8828,25.03,90,0,3.58,BR,1675740778
166,bodden town,19.2833,-81.25,26.0,93,20,3.09,KY,1675741092
167,hobyo,5.3505,48.5268,24.95,78,15,7.39,SO,1675740870
168,edmundston,47.3737,-68.3251,-13.37,81,0,1.54,CA,1675740859
169,saint-francois,46.4154,3.9054,-0.18,74,0,2.06,FR,1675740759
170,fare,-16.7,-151.0167,27.28,76,2,6.15,PF,1675741095
171,leticia,-4.2153,-69.9406,24.03,100,75,0.0,CO,1675741096
172,upernavik,72.7868,-56.1549,-22.53,94,100,2.3,GL,1675740901
173,enzan,35.7,138.7333,13.83,31,87,2.01,JP,1675741097
174,severo-kurilsk,50.6789,156.125,-3.12,70,96,5.49,RU,1675740754
175,airai,-8.9266,125.4092,23.06,60,61,2.23,TL,1675740652
176,tiznit,29.5833,-9.5,7.75,79,7,0.29,MA,1675741005
177,vilyuysk,63.7553,121.6247,-34.3,96,99,0.49,RU,1675741101
178,castro,-24.7911,-50.0119,17.8,76,98,1.41,BR,1675740790
179,ancud,-41.8697,-73.8203,10.84,91,0,1.41,CL,1675740881
180,guilin,25.2819,110.2864,11.06,88,100,2.66,CN,1675740951
181,axim,4.8699,-2.2405,25.4,88,54,1.7,GH,1675741105
182,nome,64.5011,-165.4064,-16.02,78,0,0.0,US,1675740804
183,mogadishu,2.0371,45.3438,23.93,88,14,5.14,SO,1675741107
184,bathsheba,13.2167,-59.5167,26.34,73,40,8.23,BB,1675741108
185,husavik,66.0449,-17.3389,-2.15,70,44,9.35,IS,1675740749
186,alice springs,-23.7,133.8833,33.75,40,30,5.66,AU,1675740703
187,asau,46.4333,26.4,-5.4,88,79,2.03,RO,1675741109
188,constantine,36.365,6.6147,7.67,81,75,1.03,DZ,1675741110
189,imbituba,-28.24,-48.6703,21.1,88,13,1.88,BR,1675741110
190,san quintin,30.4833,-115.95,13.58,72,0,1.84,MX,1675741111
